suicides/100k pop,country-year,HDI for year,gdp_for_year,gdp_per_capita,generation
3.22,Albania2001,0.6779999999999999,"4,060,758,804",1451,Silent
3.16,Albania2001,0.6779999999999999,"4,060,758,804",1451,Silent
1.87,Albania2001,0.6779999999999999,"4,060,758,804",1451,Millenials
1.8,Albania2001,0.6779999999999999,"4,060,758,804",1451,Generation X
0.65,Albania2001,0.6779999999999999,"4,060,758,804",1451,Millenials
12.9,Albania2002,0.684,"4,435,078,648",1573,Silent
11.15,Albania2002,0.684,"4,435,078,648",1573,Generation X
9.16,Albania2002,0.684,"4,435,078,648",1573,Boomers
6.56,Albania2002,0.684,"4,435,078,648",1573,Silent
5.7,Albania2002,0.684,"4,435,078,648",1573,Millenials
5.07,Albania2002,0.684,"4,435,078,648",1573,Millenials
4.0,Albania2002,0.684,"4,435,078,648",1573,Boomers
3.13,Albania2002,0.684,"4,435,078,648",1573,Generation X
2.11,Albania2002,0.684,"4,435,078,648",1573,Silent
2.09,Albania2002,0.684,"4,435,078,648",1573,Silent
0.33,Albania2002,0.684,"4,435,078,648",1573,Millenials
0.31,Albania2002,0.684,"4,435,078,648",1573,Millenials
12.22,Albania2003,0.691,"5,746,945,913",2021,Silent
7.94,Albania2003,0.691,"5,746,945,913",2021,Silent
7.25,Albania2003,0.691,"5,746,945,913",2021,Boomers
5.49,Albania2003,0.691,"5,746,945,913",2021,Millenials
4.93,Albania2003,0.691,"5,746,945,913",2021,Millenials
4.6,Albania2003,0.691,"5,746,945,913",2021,Silent
4.38,Albania2003,0.691,"5,746,945,913",2021,Generation X
4.04,Albania2003,0.691,"5,746,945,913",2021,Generation X
3.41,Albania2003,0.691,"5,746,945,913",2021,Boomers
3.06,Albania2003,0.691,"5,746,945,913",2021,Silent
1.28,Albania2003,0.691,"5,746,945,913",2021,Millenials
0.0,Albania2003,0.691,"5,746,945,913",2021,Millenials
11.26,Albania2004,0.696,"7,314,865,176",2544,Silent
9.95,Albania2004,0.696,"7,314,865,176",2544,Boomers
7.85,Albania2004,0.696,"7,314,865,176",2544,Generation X
6.84,Albania2004,0.696,"7,314,865,176",2544,Millenials
6.63,Albania2004,0.696,"7,314,865,176",2544,Millenials
5.89,Albania2004,0.696,"7,314,865,176",2544,Silent
4.95,Albania2004,0.696,"7,314,865,176",2544,Generation X
4.83,Albania2004,0.696,"7,314,865,176",2544,Silent
4.34,Albania2004,0.696,"7,314,865,176",2544,Boomers
1.47,Albania2004,0.696,"7,314,865,176",2544,Silent
1.05,Albania2004,0.696,"7,314,865,176",2544,Millenials
0.33,Albania2004,0.696,"7,314,865,176",2544,Millenials
0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials
0.0,Albania2005,0.695,"8,158,548,717",2931,Generation X
0.0,Albania2005,0.695,"8,158,548,717",2931,Boomers
0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials
0.0,Albania2005,0.695,"8,158,548,717",2931,Silent
0.0,Albania2005,0.695,"8,158,548,717",2931,Silent
0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials
0.0,Albania2005,0.695,"8,158,548,717",2931,Generation X
0.0,Albania2005,0.695,"8,158,548,717",2931,Boomers
0.0,Albania2005,0.695,"8,158,548,717",2931,Millenials
0.0,Albania2005,0.695,"8,158,548,717",2931,Silent
0.0,Albania2005,0.695,"8,158,548,717",2931,Silent
0.0,Albania2006,0.713,"8,992,642,349",3235,Millenials
0.0,Albania2006,0.713,"8,992,642,349",3235,Generation X
0.0,Albania2006,0.713,"8,992,642,349",3235,Boomers
0.0,Albania2006,0.713,"8,992,642,349",3235,Millenials
0.0,Albania2006,0.713,"8,992,642,349",3235,Silent
0.0,Albania2006,0.713,"8,992,642,349",3235,Silent
0.0,Albania2006,0.713,"8,992,642,349",3235,Millenials
0.0,Albania2006,0.713,"8,992,642,349",3235,Generation X
0.0,Albania2006,0.713,"8,992,642,349",3235,Boomers
0.0,Albania2006,0.713,"8,992,642,349",3235,Millenials
0.0,Albania2006,0.713,"8,992,642,349",3235,Silent
0.0,Albania2006,0.713,"8,992,642,349",3235,Silent
18.88,Albania2007,0.722,"10,701,011,897",3863,Silent
7.66,Albania2007,0.722,"10,701,011,897",3863,Boomers
6.25,Albania2007,0.722,"10,701,011,897",3863,Silent
5.23,Albania2007,0.722,"10,701,011,897",3863,Silent
5.22,Albania2007,0.722,"10,701,011,897",3863,Generation X
4.63,Albania2007,0.722,"10,701,011,897",3863,Millenials
4.51,Albania2007,0.722,"10,701,011,897",3863,Millenials
4.36,Albania2007,0.722,"10,701,011,897",3863,Generation X
4.07,Albania2007,0.722,"10,701,011,897",3863,Silent
3.57,Albania2007,0.722,"10,701,011,897",3863,Boomers
1.47,Albania2007,0.722,"10,701,011,897",3863,Generation Z
0.0,Albania2007,0.722,"10,701,011,897",3863,Generation Z
12.15,Albania2008,0.728,"12,881,352,688",4672,Generation X
9.81,Albania2008,0.728,"12,881,352,688",4672,Boomers
9.18,Albania2008,0.728,"12,881,352,688",4672,Silent
8.42,Albania2008,0.728,"12,881,352,688",4672,Silent
7.24,Albania2008,0.728,"12,881,352,688",4672,Millenials
4.93,Albania2008,0.728,"12,881,352,688",4672,Generation X
4.82,Albania2008,0.728,"12,881,352,688",4672,Boomers
4.49,Albania2008,0.728,"12,881,352,688",4672,Silent
3.84,Albania2008,0.728,"12,881,352,688",4672,Millenials
3.09,Albania2008,0.728,"12,881,352,688",4672,Silent
2.67,Albania2008,0.728,"12,881,352,688",4672,Generation Z
0.41,Albania2008,0.728,"12,881,352,688",4672,Generation Z
0.0,Albania2009,0.733,"12,044,212,904",4387,Millenials
0.0,Albania2009,0.733,"12,044,212,904",4387,Generation X
0.0,Albania2009,0.733,"12,044,212,904",4387,Boomers
0.0,Albania2009,0.733,"12,044,212,904",4387,Generation Z
0.0,Albania2009,0.733,"12,044,212,904",4387,Silent
0.0,Albania2009,0.733,"12,044,212,904",4387,Silent
0.0,Albania2009,0.733,"12,044,212,904",4387,Millenials
0.0,Albania2009,0.733,"12,044,212,904",4387,Generation X
0.0,Albania2009,0.733,"12,044,212,904",4387,Boomers
0.0,Albania2009,0.733,"12,044,212,904",4387,Generation Z
0.0,Albania2009,0.733,"12,044,212,904",4387,Silent
0.0,Albania2009,0.733,"12,044,212,904",4387,Silent
8.27,Albania2010,0.722,"11,926,953,259",4359,Silent
5.38,Albania2010,0.722,"11,926,953,259",4359,Generation X
5.01,Albania2010,0.722,"11,926,953,259",4359,Generation X
3.94,Albania2010,0.722,"11,926,953,259",4359,Silent
3.58,Albania2010,0.722,"11,926,953,259",4359,Millenials
3.27,Albania2010,0.722,"11,926,953,259",4359,Generation X
3.1,Albania2010,0.722,"11,926,953,259",4359,Silent
3.04,Albania2010,0.722,"11,926,953,259",4359,Generation X
2.9,Albania2010,0.722,"11,926,953,259",4359,Silent
2.28,Albania2010,0.722,"11,926,953,259",4359,Millenials
0.89,Albania2010,0.722,"11,926,953,259",4359,Generation Z
0.0,Albania2010,0.722,"11,926,953,259",4359,Generation Z
0.0,Antigua and Barbuda2005,0.764,"1,022,191,296",12649,Millenials
0.0,Antigua and Barbuda2005,0.764,"1,022,191,296",12649,Generation X
0.0,Antigua and Barbuda2005,0.764,"1,022,191,296",12649,Boomers
0.0,Antigua and Barbuda2005,0.764,"1,022,191,296",12649,Millenials
0.0,Antigua and Barbuda2005,0.764,"1,022,191,296",12649,Silent
0.0,Antigua and Barbuda2005,0.764,"1,022,191,296",12649,Silent
0.0,Antigua and Barbuda2005,0.764,"1,022,191,296",12649,Millenials
0.0,Antigua and Barbuda2005,0.764,"1,022,191,296",12649,Generation X
0.0,Antigua and Barbuda2005,0.764,"1,022,191,296",12649,Boomers
0.0,Antigua and Barbuda2005,0.764,"1,022,191,296",12649,Millenials
0.0,Antigua and Barbuda2005,0.764,"1,022,191,296",12649,Silent
0.0,Antigua and Barbuda2005,0.764,"1,022,191,296",12649,Silent
0.0,Antigua and Barbuda2006,0.7709999999999999,"1,157,005,444",14114,Millenials
0.0,Antigua and Barbuda2006,0.7709999999999999,"1,157,005,444",14114,Generation X
0.0,Antigua and Barbuda2006,0.7709999999999999,"1,157,005,444",14114,Boomers
0.0,Antigua and Barbuda2006,0.7709999999999999,"1,157,005,444",14114,Millenials
0.0,Antigua and Barbuda2006,0.7709999999999999,"1,157,005,444",14114,Silent
0.0,Antigua and Barbuda2006,0.7709999999999999,"1,157,005,444",14114,Silent
0.0,Antigua and Barbuda2006,0.7709999999999999,"1,157,005,444",14114,Millenials
0.0,Antigua and Barbuda2006,0.7709999999999999,"1,157,005,444",14114,Generation X
0.0,Antigua and Barbuda2006,0.7709999999999999,"1,157,005,444",14114,Boomers
0.0,Antigua and Barbuda2006,0.7709999999999999,"1,157,005,444",14114,Millenials
0.0,Antigua and Barbuda2006,0.7709999999999999,"1,157,005,444",14114,Silent
0.0,Antigua and Barbuda2006,0.7709999999999999,"1,157,005,444",14114,Silent
7.98,Antigua and Barbuda2007,0.7759999999999999,"1,311,401,333",15775,Boomers
0.0,Antigua and Barbuda2007,0.7759999999999999,"1,311,401,333",15775,Millenials
0.0,Antigua and Barbuda2007,0.7759999999999999,"1,311,401,333",15775,Generation X
0.0,Antigua and Barbuda2007,0.7759999999999999,"1,311,401,333",15775,Boomers
0.0,Antigua and Barbuda2007,0.7759999999999999,"1,311,401,333",15775,Generation Z
0.0,Antigua and Barbuda2007,0.7759999999999999,"1,311,401,333",15775,Silent
0.0,Antigua and Barbuda2007,0.7759999999999999,"1,311,401,333",15775,Silent
0.0,Antigua and Barbuda2007,0.7759999999999999,"1,311,401,333",15775,Millenials
0.0,Antigua and Barbuda2007,0.7759999999999999,"1,311,401,333",15775,Generation X
0.0,Antigua and Barbuda2007,0.7759999999999999,"1,311,401,333",15775,Generation Z
0.0,Antigua and Barbuda2007,0.7759999999999999,"1,311,401,333",15775,Silent
0.0,Antigua and Barbuda2007,0.7759999999999999,"1,311,401,333",15775,Silent
0.0,Antigua and Barbuda2008,0.774,"1,368,431,037",16238,Millenials
0.0,Antigua and Barbuda2008,0.774,"1,368,431,037",16238,Generation X
0.0,Antigua and Barbuda2008,0.774,"1,368,431,037",16238,Boomers
0.0,Antigua and Barbuda2008,0.774,"1,368,431,037",16238,Generation Z
0.0,Antigua and Barbuda2008,0.774,"1,368,431,037",16238,Silent
0.0,Antigua and Barbuda2008,0.774,"1,368,431,037",16238,Silent
0.0,Antigua and Barbuda2008,0.774,"1,368,431,037",16238,Millenials
0.0,Antigua and Barbuda2008,0.774,"1,368,431,037",16238,Generation X
0.0,Antigua and Barbuda2008,0.774,"1,368,431,037",16238,Boomers
0.0,Antigua and Barbuda2008,0.774,"1,368,431,037",16238,Generation Z
0.0,Antigua and Barbuda2008,0.774,"1,368,431,037",16238,Silent
0.0,Antigua and Barbuda2008,0.774,"1,368,431,037",16238,Silent
0.0,Antigua and Barbuda2009,0.767,"1,224,253,000",14335,Millenials
0.0,Antigua and Barbuda2009,0.767,"1,224,253,000",14335,Generation X
0.0,Antigua and Barbuda2009,0.767,"1,224,253,000",14335,Boomers
0.0,Antigua and Barbuda2009,0.767,"1,224,253,000",14335,Generation Z
0.0,Antigua and Barbuda2009,0.767,"1,224,253,000",14335,Silent
0.0,Antigua and Barbuda2009,0.767,"1,224,253,000",14335,Silent
0.0,Antigua and Barbuda2009,0.767,"1,224,253,000",14335,Millenials
0.0,Antigua and Barbuda2009,0.767,"1,224,253,000",14335,Generation X
0.0,Antigua and Barbuda2009,0.767,"1,224,253,000",14335,Boomers
0.0,Antigua and Barbuda2009,0.767,"1,224,253,000",14335,Generation Z
0.0,Antigua and Barbuda2009,0.767,"1,224,253,000",14335,Silent
0.0,Antigua and Barbuda2009,0.767,"1,224,253,000",14335,Silent
0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Millenials
0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Millenials
0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Generation X
0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Generation Z
0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Boomers
0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Silent
0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Millenials
0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Millenials
0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Generation X
0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Generation Z
0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Boomers
0.0,Antigua and Barbuda2012,0.7809999999999999,"1,211,411,704",13657,Silent
0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Millenials
0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Millenials
0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Generation X
0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Generation Z
0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Boomers
0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Silent
0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Millenials
0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Millenials
0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Generation X
0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Generation Z
0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Boomers
0.0,Antigua and Barbuda2013,0.7809999999999999,"1,192,925,407",13287,Silent
0.0,Antigua and Barbuda2014,0.7829999999999999,"1,280,133,333",14093,Millenials
0.0,Antigua and Barbuda2014,0.7829999999999999,"1,280,133,333",14093,Millenials
0.0,Antigua and Barbuda2014,0.7829999999999999,"1,280,133,333",14093,Generation X
0.0,Antigua and Barbuda2014,0.7829999999999999,"1,280,133,333",14093,Generation Z
0.0,Antigua and Barbuda2014,0.7829999999999999,"1,280,133,333",14093,Boomers
0.0,Antigua and Barbuda2014,0.7829999999999999,"1,280,133,333",14093,Silent
0.0,Antigua and Barbuda2014,0.7829999999999999,"1,280,133,333",14093,Millenials
0.0,Antigua and Barbuda2014,0.7829999999999999,"1,280,133,333",14093,Millenials
0.0,Antigua and Barbuda2014,0.7829999999999999,"1,280,133,333",14093,Generation X
0.0,Antigua and Barbuda2014,0.7829999999999999,"1,280,133,333",14093,Generation Z
0.0,Antigua and Barbuda2014,0.7829999999999999,"1,280,133,333",14093,Boomers
0.0,Antigua and Barbuda2014,0.7829999999999999,"1,280,133,333",14093,Silent
15.62,Antigua and Barbuda2015,0.762,"1,364,863,037",14853,Boomers
0.0,Antigua and Barbuda2015,0.762,"1,364,863,037",14853,Millenials
0.0,Antigua and Barbuda2015,0.762,"1,364,863,037",14853,Millenials
0.0,Antigua and Barbuda2015,0.762,"1,364,863,037",14853,Generation X
0.0,Antigua and Barbuda2015,0.762,"1,364,863,037",14853,Generation Z
0.0,Antigua and Barbuda2015,0.762,"1,364,863,037",14853,Silent
0.0,Antigua and Barbuda2015,0.762,"1,364,863,037",14853,Millenials
0.0,Antigua and Barbuda2015,0.762,"1,364,863,037",14853,Millenials
0.0,Antigua and Barbuda2015,0.762,"1,364,863,037",14853,Generation X
0.0,Antigua and Barbuda2015,0.762,"1,364,863,037",14853,Generation Z
0.0,Antigua and Barbuda2015,0.762,"1,364,863,037",14853,Boomers
0.0,Antigua and Barbuda2015,0.762,"1,364,863,037",14853,Silent
54.97,Argentina1990,0.705,"141,352,368,715",4859,G.I. Generation
23.59,Argentina1990,0.705,"141,352,368,715",4859,G.I. Generation
12.13,Argentina1990,0.705,"141,352,368,715",4859,Silent
9.49,Argentina1990,0.705,"141,352,368,715",4859,G.I. Generation
7.92,Argentina1990,0.705,"141,352,368,715",4859,Boomers
7.67,Argentina1990,0.705,"141,352,368,715",4859,G.I. Generation
6.6,Argentina1990,0.705,"141,352,368,715",4859,Generation X
4.5,Argentina1990,0.705,"141,352,368,715",4859,Silent
3.54,Argentina1990,0.705,"141,352,368,715",4859,Generation X
3.38,Argentina1990,0.705,"141,352,368,715",4859,Boomers
0.67,Argentina1990,0.705,"141,352,368,715",4859,Generation X
0.44,Argentina1990,0.705,"141,352,368,715",4859,Generation X
46.46,Argentina1991,0.725,"189,719,984,268",6404,G.I. Generation
21.08,Argentina1991,0.725,"189,719,984,268",6404,Silent
11.12,Argentina1991,0.725,"189,719,984,268",6404,Boomers
9.4,Argentina1991,0.725,"189,719,984,268",6404,Boomers
7.6,Argentina1991,0.725,"189,719,984,268",6404,G.I. Generation
6.74,Argentina1991,0.725,"189,719,984,268",6404,Silent
6.54,Argentina1991,0.725,"189,719,984,268",6404,Generation X
3.6,Argentina1991,0.725,"189,719,984,268",6404,Boomers
3.33,Argentina1991,0.725,"189,719,984,268",6404,Boomers
2.27,Argentina1991,0.725,"189,719,984,268",6404,Generation X
0.83,Argentina1991,0.725,"189,719,984,268",6404,Millenials
0.27,Argentina1991,0.725,"189,719,984,268",6404,Millenials
47.91,Argentina1992,0.73,"228,788,617,202",7615,G.I. Generation
23.25,Argentina1992,0.73,"228,788,617,202",7615,Silent
13.49,Argentina1992,0.73,"228,788,617,202",7615,Boomers
9.84,Argentina1992,0.73,"228,788,617,202",7615,Boomers
8.79,Argentina1992,0.73,"228,788,617,202",7615,Generation X
6.78,Argentina1992,0.73,"228,788,617,202",7615,G.I. Generation
5.79,Argentina1992,0.73,"228,788,617,202",7615,Silent
3.73,Argentina1992,0.73,"228,788,617,202",7615,Boomers
3.39,Argentina1992,0.73,"228,788,617,202",7615,Boomers
2.84,Argentina1992,0.73,"228,788,617,202",7615,Generation X
0.65,Argentina1992,0.73,"228,788,617,202",7615,Millenials
0.4,Argentina1992,0.73,"228,788,617,202",7615,Millenials
55.37,Argentina1993,0.735,"236,741,715,015",7768,G.I. Generation
23.95,Argentina1993,0.735,"236,741,715,015",7768,Silent
13.48,Argentina1993,0.735,"236,741,715,015",7768,Boomers
9.97,Argentina1993,0.735,"236,741,715,015",7768,Boomers
8.3,Argentina1993,0.735,"236,741,715,015",7768,G.I. Generation
8.01,Argentina1993,0.735,"236,741,715,015",7768,Generation X
4.91,Argentina1993,0.735,"236,741,715,015",7768,Silent
3.77,Argentina1993,0.735,"236,741,715,015",7768,Boomers
3.24,Argentina1993,0.735,"236,741,715,015",7768,Boomers
2.54,Argentina1993,0.735,"236,741,715,015",7768,Generation X
0.74,Argentina1993,0.735,"236,741,715,015",7768,Millenials
0.49,Argentina1993,0.735,"236,741,715,015",7768,Millenials
45.38,Argentina1994,0.7390000000000001,"257,440,000,000",8328,G.I. Generation
23.22,Argentina1994,0.7390000000000001,"257,440,000,000",8328,Silent
14.13,Argentina1994,0.7390000000000001,"257,440,000,000",8328,Boomers
9.54,Argentina1994,0.7390000000000001,"257,440,000,000",8328,Boomers
8.26,Argentina1994,0.7390000000000001,"257,440,000,000",8328,Generation X
5.2,Argentina1994,0.7390000000000001,"257,440,000,000",8328,Silent
4.72,Argentina1994,0.7390000000000001,"257,440,000,000",8328,G.I. Generation
4.12,Argentina1994,0.7390000000000001,"257,440,000,000",8328,Boomers
3.3,Argentina1994,0.7390000000000001,"257,440,000,000",8328,Generation X
3.04,Argentina1994,0.7390000000000001,"257,440,000,000",8328,Boomers
0.8,Argentina1994,0.7390000000000001,"257,440,000,000",8328,Millenials
0.34,Argentina1994,0.7390000000000001,"257,440,000,000",8328,Millenials
43.8,Argentina1995,0.731,"258,031,750,000",8232,G.I. Generation
23.26,Argentina1995,0.731,"258,031,750,000",8232,Silent
12.8,Argentina1995,0.731,"258,031,750,000",8232,Boomers
9.06,Argentina1995,0.731,"258,031,750,000",8232,Generation X
8.9,Argentina1995,0.731,"258,031,750,000",8232,Generation X
6.6,Argentina1995,0.731,"258,031,750,000",8232,G.I. Generation
5.1,Argentina1995,0.731,"258,031,750,000",8232,Silent
3.52,Argentina1995,0.731,"258,031,750,000",8232,Boomers
3.31,Argentina1995,0.731,"258,031,750,000",8232,Generation X
2.59,Argentina1995,0.731,"258,031,750,000",8232,Generation X
0.58,Argentina1995,0.731,"258,031,750,000",8232,Millenials
